Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1972","1972","tonnes","3438172","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1973","1973","tonnes","3611400","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1974","1974","tonnes","3424568","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1975","1975","tonnes","3622727","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1976","1976","tonnes","3713857","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1977","1977","tonnes","3058553","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1978","1978","tonnes","3366260","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1979","1979","tonnes","3821887","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1980","1980","tonnes","3712880","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1981","1981","tonnes","3733043","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1982","1982","tonnes","3796135","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1983","1983","tonnes","3892872","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1984","1984","tonnes","3939093","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1985","1985","tonnes","4083036","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1986","1986","tonnes","4106012","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1987","1987","tonnes","4426946","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1988","1988","tonnes","4119112","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1989","1989","tonnes","4533620","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1990","1990","tonnes","4729942","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1991","1991","tonnes","4640942","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1992","1992","tonnes","4885846","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1993","1993","tonnes","4688635","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1994","1994","tonnes","4549717","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","656","Coffee, green","1995","1995","tonnes","4324888","A","Aggregate, may include official, semi-official, estimated or calculated data",""
